===== INV-09 ①: option names matching themeA_* / theme_mods_themeA (names only, no values) =====
option_name	autoload	size_bytes
themeA_h2_ads_code_3	auto	0
themeA_finish_sponsor_text_3	auto	0
themeA_finish_ads_code_01_3	auto	0
themeA_finish_ads_code_02_3	auto	0
themeA_related_sponsor_text_3	auto	0
themeA_related_ads_code_01_3	auto	0
themeA_related_ads_code_02_3	auto	0
themeA_unit_sponsor_text_3	auto	0
themeA_unit_ads_code_3	auto	0
themeA_display_category_4	auto	0
themeA_h2_sponsor_text_4	auto	0
themeA_h2_ads_code_4	auto	0
themeA_finish_sponsor_text_4	auto	0
themeA_finish_ads_code_01_4	auto	0
themeA_finish_ads_code_02_4	auto	0
themeA_related_sponsor_text_4	auto	0
themeA_related_ads_code_01_4	auto	0
themeA_related_ads_code_02_4	auto	0
themeA_unit_sponsor_text_4	auto	0
themeA_unit_ads_code_4	auto	0
themeA_google_adsense_tag	auto	153
themeA_google_analytics_tag	auto	0
themeA_google_seaech_console_tag	auto	0
themeA_head_tag	auto	616
themeA_body_start_tag	auto	0
themeA_body_finish_tag	auto	0
themeA_paidpost_secret_key	auto	0
themeA_paidpost_release_key	auto	0
themeA_aff1_register_name	auto	0
themeA_aff1_code	auto	0
themeA_aff2_register_name	auto	0
themeA_aff2_code	auto	0
themeA_aff3_register_name	auto	0
themeA_aff3_code	auto	0
themeA_aff4_register_name	auto	0
themeA_aff4_code	auto	0
themeA_aff5_register_name	auto	0
themeA_aff5_code	auto	0
themeA_aff6_register_name	auto	0
themeA_aff6_code	auto	0
themeA_aff7_register_name	auto	0
themeA_aff7_code	auto	0
themeA_aff8_register_name	auto	0
themeA_aff8_code	auto	0
themeA_aff9_register_name	auto	0
themeA_aff9_code	auto	0
themeA_aff10_register_name	auto	0
themeA_aff10_code	auto	0
themeA_aff11_register_name	auto	0
themeA_aff11_code	auto	0
themeA_aff12_register_name	auto	0
themeA_aff12_code	auto	0
themeA_aff13_register_name	auto	0
themeA_aff13_code	auto	0
themeA_aff14_register_name	auto	0
themeA_aff14_code	auto	0
themeA_aff15_register_name	auto	0
themeA_aff15_code	auto	0
themeA_aff16_register_name	auto	0
themeA_aff16_code	auto	0
themeA_aff17_register_name	auto	0
themeA_aff17_code	auto	0
themeA_aff18_register_name	auto	0
themeA_aff18_code	auto	0
themeA_aff19_register_name	auto	0
themeA_aff19_code	auto	0
themeA_aff20_register_name	auto	0
themeA_aff20_code	auto	0
themeA_aff21_register_name	auto	0
themeA_aff21_code	auto	0
themeA_aff22_register_name	auto	0
themeA_aff22_code	auto	0
themeA_aff23_register_name	auto	0
themeA_aff23_code	auto	0
themeA_aff24_register_name	auto	0
themeA_aff24_code	auto	0
themeA_aff25_register_name	auto	0
themeA_aff25_code	auto	0
themeA_aff26_register_name	auto	0
themeA_aff26_code	auto	0
themeA_aff27_register_name	auto	0
themeA_aff27_code	auto	0
themeA_aff28_register_name	auto	0
themeA_aff28_code	auto	0
themeA_aff29_register_name	auto	0
themeA_aff29_code	auto	0
themeA_aff30_register_name	auto	0
themeA_aff30_code	auto	0

===== theme_mods_themeA keys (keys only) =====
235 keys
0
custom_css_post_id
themeA__add_class
themeA__animation_column_select
themeA__animation_designtitle_select
themeA__animation_general_toggle
themeA__animation_style
themeA__article_image_setting
themeA__article_style
themeA__article_width
themeA__bg_color
themeA__bg_image
themeA__bg_image_repeat
themeA__blogcard_design
themeA__box_tab
themeA__button01_arrow_select
themeA__button01_color
themeA__button01_color_type
themeA__button01_design
themeA__button01_gradation_select
themeA__button01_height
themeA__button01_name
themeA__button01_round
themeA__button01_shadow_size
themeA__button01_solid_animation
themeA__button01_solid_hover
themeA__button01_text_color
themeA__button01_text_size
themeA__button01_width
themeA__button02_arrow_select
themeA__button02_color
themeA__button02_color_type
themeA__button02_design
themeA__button02_gradation_select
themeA__button02_height
themeA__button02_name
themeA__button02_round
themeA__button02_solid_animation
themeA__button02_text_color
themeA__button02_width
themeA__button03_arrow_select
themeA__button03_color
themeA__button03_design
themeA__button03_height
themeA__button03_outline_hover
themeA__button03_round
themeA__button03_text_size
themeA__button03_width
themeA__button04_arrow_select
themeA__button04_color
themeA__button04_height
themeA__button04_outline_animation
themeA__button04_outline_hover
themeA__button04_round
themeA__button04_shadow_size
themeA__button04_text_size
themeA__button04_width
themeA__button05_color
themeA__button06_arrow_select
themeA__button06_color
themeA__button06_color_type
themeA__button06_design
themeA__button06_gradation_select
themeA__button06_height
themeA__button06_round
themeA__button06_shadow_size
themeA__button06_solid_animation
themeA__button06_text_color
themeA__button06_text_size
themeA__button06_width
themeA__color_tab
themeA__colortext1_color
themeA__colortext2_color
themeA__comment_remove
themeA__desc_text
themeA__design_style
themeA__ef_style
themeA__english_font_style
themeA__external_reading_appreach
themeA__external_reading_kaereba
themeA__eyecatch_off
themeA__font_size
themeA__font_size_sp
themeA__font_style
themeA__footer_bg_color
themeA__footer_bg_gradation_select
themeA__footer_bgcolor_type
themeA__footer_text_color
themeA__fukidashi1_border_color
themeA__fukidashi1_image
themeA__fukidashi1_imgborder_color
themeA__fukidashi1_imgborder_color_type
themeA__fukidashi1_name
themeA__fukidashi2_border_color
themeA__fukidashi2_image
themeA__fukidashi2_imgborder_color
themeA__fukidashi2_layout
themeA__glonavi_font_size
themeA__glonavi_hover
themeA__gradation_color1_1
themeA__gradation_color1_2
themeA__gradation_color2_1
themeA__gradation_color2_2
themeA__gradation_color3_1
themeA__gradation_color3_2
themeA__h2_style
themeA__h3_style
themeA__h4_style
themeA__hamburger_display_pc
themeA__header_bg_color
themeA__header_bg_image
themeA__header_bgcolor_type
themeA__header_globalmenu_tablet_display
themeA__header_layout
themeA__header_logo_padding
themeA__header_logo_padding_sp
themeA__header_logo_size
themeA__header_logo_size_sp
themeA__header_logo_url
themeA__header_menu_color
themeA__header_menu_design
themeA__header_search_display
themeA__header_style
themeA__header_subtitle_display
themeA__header_subtitle_display_sp
themeA__header_title_color
themeA__header_toppage_display
themeA__header_tracking
themeA__home_column_style
themeA__info_bgcolor
themeA__info_button_design_select
themeA__info_button_text
themeA__info_display_position
themeA__info_text1
themeA__info_text1_size
themeA__info_textcolor
themeA__info_type
themeA__info_url
themeA__info_used
themeA__insta_url
themeA__link_color
themeA__link_hover_color
themeA__main_style
themeA__main_visual_type
themeA__marker1_color
themeA__marker1_weight
themeA__marker2_color
themeA__marker2_weight
themeA__movie_design
themeA__movie_url
themeA__noimage_url
themeA__ogp_image_url
themeA__post_column_style
themeA__postlist_hover_style
themeA__postlist_pagenation_style
themeA__postlist_related_num
themeA__profile_image_url
themeA__profile_introduction
themeA__profile_job
themeA__profile_name
themeA__profile_sns_color
themeA__pub_mod_setting
themeA__reading_jsonld
themeA__reading_wpemoji
themeA__related_post_bgcolor
themeA__related_post_bgcolor_type
themeA__related_post_color_type
themeA__related_post_remove
themeA__representation_design_type
themeA__representation_display_category_side
themeA__representation_display_custom_category
themeA__representation_display_post
themeA__round_style
themeA__slider_animation_speed
themeA__slider_design_select
themeA__slider_text_color_select
themeA__slider_type_select
themeA__slider_url1
themeA__slider_url2
themeA__slider_url3
themeA__slider_url4
themeA__slider_url5
themeA__slider_url6
themeA__sns_follow_display_proile
themeA__sns_hashtag
themeA__sns_share_bottom_display
themeA__sns_share_color
themeA__sns_share_design
themeA__sns_sharebutton_display_facebook
themeA__sns_sharebutton_display_twitter
themeA__sns_sharebutton_twitter_desc
themeA__sns_sharebutton_twitter_text
themeA__sp_menu1_iconvisual
themeA__sp_menu1_label
themeA__sp_menu1_link
themeA__sp_menu2_iconvisual
themeA__sp_menu2_label
themeA__sp_menu2_link
themeA__sp_menu3_iconvisual
themeA__sp_menu3_label
themeA__sp_menu3_link
themeA__sp_menu4_iconvisual
themeA__sp_menu4_label
themeA__sp_menu4_link
themeA__sp_menu_icon_display1
themeA__sp_menu_icon_display2
themeA__sp_menu_icon_display3
themeA__sp_menu_icon_display4
themeA__sp_tab
themeA__spcv_all_color
themeA__spcv_all_display
themeA__spcv_all_iconvisual
themeA__spcv_all_image_select
themeA__spcv_all_image_url
themeA__spcv_all_maintext
themeA__spcv_all_style
themeA__spcv_all_subtext
themeA__spcv_all_text_color
themeA__spcv_all_url
themeA__stillimage_button_text
themeA__stillimage_design
themeA__stillimage_height_size
themeA__stillimage_height_size_control
themeA__stillimage_height_size_number
themeA__stillimage_maincopy
themeA__stillimage_subcopy
themeA__stillimage_url
themeA__text_color
themeA__theme_color
themeA__thumbanil_profile_image_switch
themeA__thumbnail_original_used
themeA__thumbnails_text_layout
themeA__tw_name
themeA__tw_url
nav_menu_locations

===== INV-03 ④: sidebars_widgets (structure) =====
{"wp_inactive_widgets":["block-16","block-20"],"toppage-widget":["block-33"],"post-top-widget":["block-32"],"post-start-widget":[],"post-end-widget":["block-17","block-18","block-19"],"post-bottom-widget":[],"relatedpost-bottom-widget":[],"footer-widget":[],"sidebar":["block-2","block-27","block-28","block-3","block-25","block-26","block-4","block-23","block-24","block-21","block-22"],"sidebar-tracking":["block-34"],"hamburger-widget":[],"smartslider_area_1":[],"array_version":3}

===== registered sidebars =====
name	id
トップページ上部	toppage-widget
記事上	post-top-widget
記事はじめ	post-start-widget
記事おわり	post-end-widget
記事下	post-bottom-widget
関連記事下	relatedpost-bottom-widget
フッター	footer-widget
サイドバー	sidebar
サイドバー追尾【PC】	sidebar-tracking
ハンバーガー	hamburger-widget
Custom Widget Area - #1	smartslider_area_1
使用停止中のウィジェット	wp_inactive_widgets

===== widget instances per sidebar =====
