# INV-09 サイト設定の 4 分類（キー名からの一次分類・2026-08-27）
# axis: A=サイト固有の意味(移管必須) / B=見た目の選択(任意) / C=テーマ内部状態(移管しない) / X=credential(値に触れない) / D=保留
option_name	axis	reason
themeA_finish_ads_code_02_3	A	サイト固有: 外部連携・計測・広告コード
themeA_finish_ads_code_02_4	A	サイト固有: 外部連携・計測・広告コード
themeA_finish_sponsor_text	A	サイト固有: 表示文言・URL
themeA_finish_sponsor_text_1	A	サイト固有: 表示文言・URL
themeA_finish_sponsor_text_2	A	サイト固有: 表示文言・URL
themeA_finish_sponsor_text_3	A	サイト固有: 表示文言・URL
themeA_finish_sponsor_text_4	A	サイト固有: 表示文言・URL
themeA_google_adsense_tag	A	サイト固有: 外部連携・計測・広告コード
themeA_google_analytics_tag	A	サイト固有: 外部連携・計測・広告コード
themeA_google_seaech_console_tag	A	サイト固有: 外部連携・計測・広告コード
themeA_h2_ads_code	A	サイト固有: 外部連携・計測・広告コード
themeA_h2_ads_code_1	A	サイト固有: 外部連携・計測・広告コード
themeA_h2_ads_code_2	A	サイト固有: 外部連携・計測・広告コード
themeA_h2_ads_code_3	A	サイト固有: 外部連携・計測・広告コード
themeA_h2_ads_code_4	A	サイト固有: 外部連携・計測・広告コード
themeA_h2_sponsor_text	A	サイト固有: 表示文言・URL
themeA_h2_sponsor_text_1	A	サイト固有: 表示文言・URL
themeA_h2_sponsor_text_2	A	サイト固有: 表示文言・URL
themeA_h2_sponsor_text_3	A	サイト固有: 表示文言・URL
themeA_h2_sponsor_text_4	A	サイト固有: 表示文言・URL
themeA_head_tag	A	サイト固有: 外部連携・計測・広告コード
themeA_image_page_noindex	A	サイト固有: SEO ポリシー
themeA_paidpost_subscription_check	A	サイト固有: どの分類/記事を出すかの選択
themeA_related_ads_code_01	A	サイト固有: 外部連携・計測・広告コード
themeA_related_ads_code_01_1	A	サイト固有: 外部連携・計測・広告コード
themeA_related_ads_code_01_2	A	サイト固有: 外部連携・計測・広告コード
themeA_related_ads_code_01_3	A	サイト固有: 外部連携・計測・広告コード
themeA_related_ads_code_01_4	A	サイト固有: 外部連携・計測・広告コード
themeA_related_ads_code_02	A	サイト固有: 外部連携・計測・広告コード
themeA_related_ads_code_02_1	A	サイト固有: 外部連携・計測・広告コード
themeA_related_ads_code_02_2	A	サイト固有: 外部連携・計測・広告コード
themeA_related_ads_code_02_3	A	サイト固有: 外部連携・計測・広告コード
themeA_related_ads_code_02_4	A	サイト固有: 外部連携・計測・広告コード
themeA_related_sp_display_01	A	サイト固有: どの分類/記事を出すかの選択
themeA_related_sp_display_01_1	A	サイト固有: どの分類/記事を出すかの選択
themeA_related_sp_display_01_2	A	サイト固有: どの分類/記事を出すかの選択
themeA_related_sp_display_01_3	A	サイト固有: どの分類/記事を出すかの選択
themeA_related_sp_display_01_4	A	サイト固有: どの分類/記事を出すかの選択
themeA_related_sp_display_02	A	サイト固有: どの分類/記事を出すかの選択
themeA_related_sp_display_02_1	A	サイト固有: どの分類/記事を出すかの選択
themeA_related_sp_display_02_2	A	サイト固有: どの分類/記事を出すかの選択
themeA_related_sp_display_02_3	A	サイト固有: どの分類/記事を出すかの選択
themeA_related_sp_display_02_4	A	サイト固有: どの分類/記事を出すかの選択
themeA_related_sponsor_text	A	サイト固有: 表示文言・URL
themeA_related_sponsor_text_1	A	サイト固有: 表示文言・URL
themeA_related_sponsor_text_2	A	サイト固有: 表示文言・URL
themeA_related_sponsor_text_3	A	サイト固有: 表示文言・URL
themeA_related_sponsor_text_4	A	サイト固有: 表示文言・URL
themeA_search_page_noindex	A	サイト固有: SEO ポリシー
themeA_separation_title	A	サイト固有: 表示文言・URL
themeA_tag_id_noindex	A	サイト固有: SEO ポリシー
themeA_tag_next_noindex	A	サイト固有: SEO ポリシー
themeA_tag_noindex	A	サイト固有: SEO ポリシー
themeA_title_customize	A	サイト固有: 表示文言・URL
themeA_top_meta_keyword	A	サイト固有: SEO ポリシー
themeA_top_next_noindex	A	サイト固有: SEO ポリシー
themeA_unit_ads_code	A	サイト固有: 外部連携・計測・広告コード
themeA_unit_ads_code_1	A	サイト固有: 外部連携・計測・広告コード
themeA_unit_ads_code_2	A	サイト固有: 外部連携・計測・広告コード
themeA_unit_ads_code_3	A	サイト固有: 外部連携・計測・広告コード
themeA_unit_ads_code_4	A	サイト固有: 外部連携・計測・広告コード
themeA_unit_sponsor_text	A	サイト固有: 表示文言・URL
themeA_unit_sponsor_text_1	A	サイト固有: 表示文言・URL
themeA_unit_sponsor_text_2	A	サイト固有: 表示文言・URL
themeA_unit_sponsor_text_3	A	サイト固有: 表示文言・URL
themeA_unit_sponsor_text_4	A	サイト固有: 表示文言・URL
themeA_breadcrumb_display	B	見た目: 選択（任意移管）
themeA_commentrss_display	B	見た目: 選択（任意移管）
themeA_display_category	B	見た目: 選択（任意移管）
themeA_finish_sp_display_01	B	見た目: 選択（任意移管）
themeA_finish_sp_display_01_1	B	見た目: 選択（任意移管）
themeA_finish_sp_display_01_2	B	見た目: 選択（任意移管）
themeA_finish_sp_display_01_3	B	見た目: 選択（任意移管）
themeA_finish_sp_display_01_4	B	見た目: 選択（任意移管）
themeA_finish_sp_display_02	B	見た目: 選択（任意移管）
themeA_finish_sp_display_02_1	B	見た目: 選択（任意移管）
themeA_finish_sp_display_02_2	B	見た目: 選択（任意移管）
themeA_finish_sp_display_02_3	B	見た目: 選択（任意移管）
themeA_finish_sp_display_02_4	B	見た目: 選択（任意移管）
themeA_h2_sp_display	B	見た目: 選択（任意移管）
themeA_h2_sp_display_1	B	見た目: 選択（任意移管）
themeA_h2_sp_display_2	B	見た目: 選択（任意移管）
themeA_h2_sp_display_3	B	見た目: 選択（任意移管）
themeA_h2_sp_display_4	B	見た目: 選択（任意移管）
themeA_unit_sp_display	B	見た目: 選択（任意移管）
themeA_unit_sp_display_1	B	見た目: 選択（任意移管）
themeA_unit_sp_display_2	B	見た目: 選択（任意移管）
themeA_unit_sp_display_3	B	見た目: 選択（任意移管）
themeA_unit_sp_display_4	B	見た目: 選択（任意移管）
themeA_added_views_meta_all_posts	C	内部状態: 移管しない
themeA_create_defaultpage_flag	C	内部状態: 移管しない
themeA_paidpost_release_key	X	credential: 値を読まない・移管しない・ログに出さない
themeA_paidpost_secret_key	X	credential: 値を読まない・移管しない・ログに出さない
