# INV-09 theme_mods_themeA 235 キーの 5 軸分類（キー名 + 値の型からの一次分類・2026-08-31）
# 値は記録しない。axis: A=サイト固有の意味(移管必須) / B=見た目の選択(任意) / C=テーマ内部状態(移管しない) / X=credential(値に触れない) / D=保留（④副作用既定値候補を含む）
theme_mod_key	value_type	axis	reason
themeA__button02_arrow_select	str	B	見た目: 選択（任意移管）
themeA__button02_color	str	B	見た目: 選択（任意移管）
themeA__button02_color_type	str	B	見た目: 選択（任意移管）
themeA__button02_design	str	B	見た目: 選択（任意移管）
themeA__button02_gradation_select	str	B	見た目: 選択（任意移管）
themeA__button02_height	str	B	見た目: 選択（任意移管）
themeA__button02_name	str	A	サイト固有: 表示文言・URL・SNS
themeA__button02_round	str	B	見た目: 選択（任意移管）
themeA__button02_solid_animation	str	B	見た目: 選択（任意移管）
themeA__button02_text_color	str	B	見た目: 選択（任意移管）
themeA__button02_width	str	B	見た目: 選択（任意移管）
themeA__button03_arrow_select	str	B	見た目: 選択（任意移管）
themeA__button03_color	str	B	見た目: 選択（任意移管）
themeA__button03_design	str	B	見た目: 選択（任意移管）
themeA__button03_height	str	B	見た目: 選択（任意移管）
themeA__button03_outline_hover	str	A	サイト固有: 表示文言・URL・SNS
themeA__button03_round	str	B	見た目: 選択（任意移管）
themeA__button03_text_size	str	B	見た目: 選択（任意移管）
themeA__button03_width	str	B	見た目: 選択（任意移管）
themeA__button04_arrow_select	str	B	見た目: 選択（任意移管）
themeA__button04_color	str	B	見た目: 選択（任意移管）
themeA__button04_height	str	B	見た目: 選択（任意移管）
themeA__button04_outline_animation	str	A	サイト固有: 表示文言・URL・SNS
themeA__button04_outline_hover	str	A	サイト固有: 表示文言・URL・SNS
themeA__button04_round	str	B	見た目: 選択（任意移管）
themeA__button04_shadow_size	str	B	見た目: 選択（任意移管）
themeA__button04_text_size	str	B	見た目: 選択（任意移管）
themeA__button04_width	str	B	見た目: 選択（任意移管）
themeA__button05_color	str	B	見た目: 選択（任意移管）
themeA__button06_arrow_select	str	B	見た目: 選択（任意移管）
themeA__button06_color	str	B	見た目: 選択（任意移管）
themeA__button06_color_type	str	B	見た目: 選択（任意移管）
themeA__button06_design	str	B	見た目: 選択（任意移管）
themeA__button06_gradation_select	str	B	見た目: 選択（任意移管）
themeA__button06_height	str	B	見た目: 選択（任意移管）
themeA__button06_round	str	B	見た目: 選択（任意移管）
themeA__button06_shadow_size	str	B	見た目: 選択（任意移管）
themeA__button06_solid_animation	str	B	見た目: 選択（任意移管）
themeA__button06_text_color	str	B	見た目: 選択（任意移管）
themeA__button06_text_size	str	B	見た目: 選択（任意移管）
themeA__button06_width	str	B	見た目: 選択（任意移管）
themeA__color_tab	str	B	見た目: 選択（任意移管）
themeA__colortext1_color	str	B	見た目: 選択（任意移管）
themeA__colortext2_color	str	B	見た目: 選択（任意移管）
themeA__comment_remove	bool	B	見た目: 表示 ON/OFF（任意移管）
themeA__desc_text	str	A	サイト固有: 表示文言・URL・SNS
themeA__design_style	str	B	見た目: 選択（任意移管）
themeA__ef_style	str	B	見た目: 選択（任意移管）
themeA__english_font_style	str	B	見た目: 選択（任意移管）
themeA__external_reading_appreach	bool	B	見た目: 表示 ON/OFF（任意移管）
themeA__external_reading_kaereba	bool	B	見た目: 表示 ON/OFF（任意移管）
themeA__eyecatch_off	bool	A	サイト固有: 表示文言・URL・SNS
themeA__font_size	str	B	見た目: 選択（任意移管）
themeA__font_size_sp	str	B	見た目: 選択（任意移管）
themeA__font_style	str	B	見た目: 選択（任意移管）
themeA__footer_bg_color	str	B	見た目: 選択（任意移管）
themeA__footer_bg_gradation_select	str	B	見た目: 選択（任意移管）
themeA__footer_bgcolor_type	str	B	見た目: 選択（任意移管）
themeA__footer_text_color	str	B	見た目: 選択（任意移管）
themeA__fukidashi1_border_color	str	B	見た目: 選択（任意移管）
themeA__fukidashi1_image	str	A	サイト固有: 表示文言・URL・SNS
themeA__fukidashi1_imgborder_color	str	B	見た目: 選択（任意移管）
themeA__fukidashi1_imgborder_color_type	str	B	見た目: 選択（任意移管）
themeA__fukidashi1_name	str	A	サイト固有: 表示文言・URL・SNS
themeA__fukidashi2_border_color	str	B	見た目: 選択（任意移管）
themeA__fukidashi2_image	str	A	サイト固有: 表示文言・URL・SNS
themeA__fukidashi2_imgborder_color	str	B	見た目: 選択（任意移管）
themeA__fukidashi2_layout	str	B	見た目: 選択（任意移管）
themeA__glonavi_font_size	str	B	見た目: 選択（任意移管）
themeA__glonavi_hover	str	D	保留: キー名から判別できず（アクセサ要確認）
themeA__gradation_color1_1	str	B	見た目: 選択（任意移管）
themeA__gradation_color1_2	str	B	見た目: 選択（任意移管）
themeA__gradation_color2_1	str	B	見た目: 選択（任意移管）
themeA__gradation_color2_2	str	B	見た目: 選択（任意移管）
themeA__gradation_color3_1	str	B	見た目: 選択（任意移管）
themeA__gradation_color3_2	str	B	見た目: 選択（任意移管）
themeA__h2_style	str	B	見た目: 選択（任意移管）
themeA__h3_style	str	B	見た目: 選択（任意移管）
themeA__h4_style	str	B	見た目: 選択（任意移管）
themeA__hamburger_display_pc	bool	B	見た目: 選択（任意移管）
themeA__header_bg_color	str	D	④ 副作用既定値の候補（INV-16 の 5 キー・値は既定値と相違＝人が設定）
themeA__header_bg_image	str	B	見た目: 選択（任意移管）
themeA__header_bgcolor_type	str	B	見た目: 選択（任意移管）
themeA__header_globalmenu_tablet_display	bool	B	見た目: 選択（任意移管）
themeA__header_layout	str	B	見た目: 選択（任意移管）
themeA__header_logo_padding	str	B	見た目: 選択（任意移管）
themeA__header_logo_padding_sp	str	B	見た目: 選択（任意移管）
themeA__header_logo_size	str	B	見た目: 選択（任意移管）
themeA__header_logo_size_sp	str	B	見た目: 選択（任意移管）
themeA__header_logo_url	str	A	サイト固有: 表示文言・URL・SNS
themeA__header_menu_color	str	D	④ 副作用既定値の候補（INV-16 の 5 キー・値は既定値と相違＝人が設定）
themeA__header_menu_design	str	B	見た目: 選択（任意移管）
themeA__header_search_display	bool	B	見た目: 選択（任意移管）
themeA__header_style	str	B	見た目: 選択（任意移管）
themeA__header_subtitle_display	bool	B	見た目: 選択（任意移管）
themeA__header_subtitle_display_sp	bool	B	見た目: 選択（任意移管）
themeA__header_title_color	str	B	見た目: 選択（任意移管）
themeA__header_toppage_display	bool	B	見た目: 選択（任意移管）
themeA__header_tracking	str	B	見た目: 選択（任意移管）
themeA__home_column_style	str	B	見た目: 選択（任意移管）
themeA__info_bgcolor	str	B	見た目: 選択（任意移管）
themeA__info_button_design_select	str	B	見た目: 選択（任意移管）
themeA__info_button_text	str	A	サイト固有: 表示文言・URL・SNS
themeA__info_display_position	str	B	見た目: 選択（任意移管）
themeA__info_text1	str	D	保留: キー名から判別できず（アクセサ要確認）
themeA__info_text1_size	str	B	見た目: 選択（任意移管）
themeA__info_textcolor	str	B	見た目: 選択（任意移管）
themeA__info_type	str	D	保留: キー名から判別できず（アクセサ要確認）
themeA__info_url	str	A	サイト固有: 表示文言・URL・SNS
themeA__info_used	str	D	保留: キー名から判別できず（アクセサ要確認）
themeA__insta_url	str	A	サイト固有: 表示文言・URL・SNS
themeA__link_color	str	B	見た目: 選択（任意移管）
themeA__link_hover_color	str	B	見た目: 選択（任意移管）
themeA__main_style	str	B	見た目: 選択（任意移管）
themeA__main_visual_type	str	D	保留: キー名から判別できず（アクセサ要確認）
themeA__marker1_color	str	B	見た目: 選択（任意移管）
themeA__marker1_weight	str	B	見た目: 選択（任意移管）
themeA__marker2_color	str	B	見た目: 選択（任意移管）
themeA__marker2_weight	str	B	見た目: 選択（任意移管）
themeA__movie_design	str	B	見た目: 選択（任意移管）
themeA__movie_url	str	A	サイト固有: 表示文言・URL・SNS
themeA__noimage_url	str	A	サイト固有: 表示文言・URL・SNS
themeA__ogp_image_url	str	A	サイト固有: 表示文言・URL・SNS
themeA__post_column_style	str	A	サイト固有: どの分類/記事を出すかの選択
themeA__postlist_hover_style	str	B	見た目: 選択（任意移管）
themeA__postlist_pagenation_style	str	B	見た目: 選択（任意移管）
themeA__postlist_related_num	str	A	サイト固有: どの分類/記事を出すかの選択
themeA__profile_image_url	str	A	サイト固有: 表示文言・URL・SNS
themeA__profile_introduction	str	A	サイト固有: 表示文言・URL・SNS
themeA__profile_job	str	A	サイト固有: 表示文言・URL・SNS
themeA__profile_name	str	A	サイト固有: 表示文言・URL・SNS
themeA__profile_sns_color	str	A	サイト固有: 表示文言・URL・SNS
themeA__pub_mod_setting	str	D	保留: キー名から判別できず（アクセサ要確認）
themeA__reading_jsonld	bool	B	見た目: 表示 ON/OFF（任意移管）
themeA__reading_wpemoji	bool	B	見た目: 表示 ON/OFF（任意移管）
themeA__related_post_bgcolor	str	A	サイト固有: どの分類/記事を出すかの選択
themeA__related_post_bgcolor_type	str	A	サイト固有: どの分類/記事を出すかの選択
themeA__related_post_color_type	str	A	サイト固有: どの分類/記事を出すかの選択
themeA__related_post_remove	bool	A	サイト固有: どの分類/記事を出すかの選択
themeA__representation_design_type	str	A	サイト固有: 表示文言・URL・SNS
themeA__representation_display_category_side	bool	A	サイト固有: 表示文言・URL・SNS
themeA__representation_display_custom_category	bool	A	サイト固有: 表示文言・URL・SNS
themeA__representation_display_post	bool	A	サイト固有: 表示文言・URL・SNS
themeA__round_style	str	B	見た目: 選択（任意移管）
themeA__slider_animation_speed	str	B	見た目: 選択（任意移管）
themeA__slider_design_select	str	B	見た目: 選択（任意移管）
themeA__slider_text_color_select	str	B	見た目: 選択（任意移管）
themeA__slider_type_select	str	D	保留: キー名から判別できず（アクセサ要確認）
themeA__slider_url1	str	A	サイト固有: 表示文言・URL・SNS
themeA__slider_url2	str	A	サイト固有: 表示文言・URL・SNS
themeA__slider_url3	str	A	サイト固有: 表示文言・URL・SNS
themeA__slider_url4	str	A	サイト固有: 表示文言・URL・SNS
themeA__slider_url5	str	A	サイト固有: 表示文言・URL・SNS
themeA__slider_url6	str	D	保留: キー名から判別できず（アクセサ要確認）
themeA__sns_follow_display_proile	bool	B	見た目: 選択（任意移管）
themeA__sns_hashtag	str	A	サイト固有: 表示文言・URL・SNS
themeA__sns_share_bottom_display	bool	B	見た目: 選択（任意移管）
themeA__sns_share_color	str	B	見た目: 選択（任意移管）
themeA__sns_share_design	str	B	見た目: 選択（任意移管）
themeA__sns_sharebutton_display_facebook	bool	B	見た目: 選択（任意移管）
themeA__sns_sharebutton_display_twitter	bool	B	見た目: 選択（任意移管）
themeA__sns_sharebutton_twitter_desc	str	B	見た目: 選択（任意移管）
themeA__sns_sharebutton_twitter_text	str	A	サイト固有: 表示文言・URL・SNS
themeA__sp_menu1_iconvisual	str	B	見た目: 選択（任意移管）
themeA__sp_menu1_label	str	A	サイト固有: 表示文言・URL・SNS
themeA__sp_menu1_link	str	A	サイト固有: 表示文言・URL・SNS
themeA__sp_menu2_iconvisual	str	B	見た目: 選択（任意移管）
themeA__sp_menu2_label	str	A	サイト固有: 表示文言・URL・SNS
themeA__sp_menu2_link	str	A	サイト固有: 表示文言・URL・SNS
themeA__sp_menu3_iconvisual	str	B	見た目: 選択（任意移管）
themeA__sp_menu3_label	str	A	サイト固有: 表示文言・URL・SNS
themeA__sp_menu3_link	str	A	サイト固有: 表示文言・URL・SNS
themeA__sp_menu4_iconvisual	str	B	見た目: 選択（任意移管）
themeA__sp_menu4_label	str	A	サイト固有: 表示文言・URL・SNS
themeA__sp_menu4_link	str	A	サイト固有: 表示文言・URL・SNS
themeA__sp_menu_icon_display1	str	B	見た目: 選択（任意移管）
themeA__sp_menu_icon_display2	str	B	見た目: 選択（任意移管）
themeA__sp_menu_icon_display3	str	B	見た目: 選択（任意移管）
themeA__sp_menu_icon_display4	str	B	見た目: 選択（任意移管）
themeA__sp_tab	str	D	保留: キー名から判別できず（アクセサ要確認）
themeA__spcv_all_color	str	B	見た目: 選択（任意移管）
themeA__spcv_all_display	str	B	見た目: 選択（任意移管）
themeA__spcv_all_iconvisual	str	B	見た目: 選択（任意移管）
themeA__spcv_all_image_select	str	B	見た目: 選択（任意移管）
themeA__spcv_all_image_url	str	A	サイト固有: 表示文言・URL・SNS
themeA__spcv_all_maintext	str	D	保留: キー名から判別できず（アクセサ要確認）
themeA__spcv_all_style	str	B	見た目: 選択（任意移管）
themeA__spcv_all_subtext	str	D	保留: キー名から判別できず（アクセサ要確認）
themeA__spcv_all_text_color	str	B	見た目: 選択（任意移管）
themeA__spcv_all_url	str	A	サイト固有: 表示文言・URL・SNS
themeA__stillimage_button_text	str	A	サイト固有: 表示文言・URL・SNS
themeA__stillimage_design	str	B	見た目: 選択（任意移管）
themeA__stillimage_height_size	str	B	見た目: 選択（任意移管）
themeA__stillimage_height_size_control	str	B	見た目: 選択（任意移管）
themeA__stillimage_height_size_number	str	B	見た目: 選択（任意移管）
themeA__stillimage_maincopy	str	B	見た目: 選択（任意移管）
themeA__stillimage_subcopy	str	B	見た目: 選択（任意移管）
themeA__stillimage_url	str	A	サイト固有: 表示文言・URL・SNS
themeA__text_color	str	D	④ 副作用既定値の候補（INV-16 の 5 キー・値は既定値と相違＝人が設定）
themeA__theme_color	str	D	④ 副作用既定値の候補（INV-16 の 5 キー・値は既定値と相違＝人が設定）
themeA__thumbanil_profile_image_switch	str	A	サイト固有: 表示文言・URL・SNS
themeA__thumbnail_original_used	bool	B	見た目: 選択（任意移管）
themeA__thumbnails_text_layout	str	B	見た目: 選択（任意移管）
themeA__tw_name	str	A	サイト固有: 表示文言・URL・SNS
themeA__tw_url	str	A	サイト固有: 表示文言・URL・SNS
